"Id","是否完成","Type","Note","Name","Name_en","Name_zh-Hant","Name_ja","Description","Description_zh-Hant","Description_en","Description_ja"
"blazing_crown_collapse","TRUE","攻击牌","","炽冕崩落","Blazing Crown Collapse","熾冕崩落","熾冠崩落","爆发性一击。对所有敌人造成{0}点伤害；若没有{SunExp_sunexp_solar_crown}，自身也承受{0}点伤害。消耗全部{SunExp_sunexp_gathered_flame}和一半{SunExp_sunexp_solar_radiance}，基础40点；每消耗1层{SunExp_sunexp_gathered_flame}额外造成5点，每消耗1层{SunExp_sunexp_solar_radiance}额外造成10点。随后敌方全体的{buff_burn}立刻生效一次，结束{SunExp_sunexp_solar_crown}，并获得等同于消耗{SunExp_sunexp_gathered_flame}一半的{buff_burn}。","爆發性一擊。對所有敵人造成{0}點傷害；若沒有{SunExp_sunexp_solar_crown}，自身也承受{0}點傷害。消耗全部{SunExp_sunexp_gathered_flame}和一半{SunExp_sunexp_solar_radiance}，基礎40點；每消耗1層{SunExp_sunexp_gathered_flame}額外造成5點，每消耗1層{SunExp_sunexp_solar_radiance}額外造成10點。隨後敵方全體的{buff_burn}立刻生效一次，結束{SunExp_sunexp_solar_crown}，並獲得等同於消耗{SunExp_sunexp_gathered_flame}一半的{buff_burn}。","A burst strike deals {0} damage to all enemies. If you do not have {SunExp_sunexp_solar_crown}, you also take {0} damage. Consume all {SunExp_sunexp_gathered_flame} and half of {SunExp_sunexp_solar_radiance}. Base 40, +5 per flame consumed and +10 per radiance consumed. Then trigger all enemies' {buff_burn} once, end {SunExp_sunexp_solar_crown}, and gain {buff_burn} equal to half the flame consumed.","すべての敵に{0}ダメージを与える爆発的な一撃。{SunExp_sunexp_solar_crown}を持たない場合、自身も{0}ダメージを受ける。すべての{SunExp_sunexp_gathered_flame}と半分の{SunExp_sunexp_solar_radiance}を消費する。基礎40、消費した聚炎1につき+5、日耀1につき+10。続けて全敵の{buff_burn}を1回発動し、{SunExp_sunexp_solar_crown}を終了し、消費した聚炎の半分に等しい{buff_burn}を得る。"
"radiant_oath","TRUE","技能牌","","启辉誓言","Radiant Oath","啟輝誓言","啓輝の誓い","获得3层{SunExp_sunexp_solar_radiance}。若你没有{SunExp_sunexp_scorching_canopy}，获得1层{SunExp_sunexp_scorching_canopy}；否则抽1张牌。焚毁。","獲得3層{SunExp_sunexp_solar_radiance}。若你沒有{SunExp_sunexp_scorching_canopy}，獲得1層{SunExp_sunexp_scorching_canopy}；否則抽1張牌。焚毀。","Gain 3 stacks of {SunExp_sunexp_solar_radiance}. If you do not have {SunExp_sunexp_scorching_canopy}, gain 1 stack of it; otherwise draw 1 card. Burnout.","{SunExp_sunexp_solar_radiance}を3スタック得る。{SunExp_sunexp_scorching_canopy}を持っていないなら1スタック得る。そうでなければ1枚引く。焼却。"
"solar_ignition","TRUE","技能牌","","日耀：引燃","Radiance: Ignition","日耀：引燃","日耀：点火","获得2层{SunExp_sunexp_solar_radiance}。所有敌人获得2层{buff_burn}。若你拥有{SunExp_sunexp_scorching_canopy}，抽1张牌，并获得等同于炽灼天幕层数的{SunExp_sunexp_gathered_flame}；若{SunExp_sunexp_solar_radiance}不少于4层，随机敌人的{buff_burn}立刻生效一次。","獲得2層{SunExp_sunexp_solar_radiance}。所有敵人獲得2層{buff_burn}。若你擁有{SunExp_sunexp_scorching_canopy}，抽1張牌，並獲得等同於熾灼天幕層數的{SunExp_sunexp_gathered_flame}；若{SunExp_sunexp_solar_radiance}不少於4層，隨機敵人的{buff_burn}立刻生效一次。","Gain 2 stacks of {SunExp_sunexp_solar_radiance}. All enemies gain 2 stacks of {buff_burn}. If you have {SunExp_sunexp_scorching_canopy}, draw 1 card and gain {SunExp_sunexp_gathered_flame} equal to your Scorching Canopy stacks. If you have at least 4 Radiance, trigger a random enemy's {buff_burn} once.","{SunExp_sunexp_solar_radiance}を2スタック得る。すべての敵が{buff_burn}を2スタック得る。{SunExp_sunexp_scorching_canopy}を持つなら1枚引き、熾灼天幕スタックに等しい{SunExp_sunexp_gathered_flame}を得る。日耀4以上ならランダムな敵の{buff_burn}を1回発動する。"
"scorching_flow_reclaim","TRUE","攻击牌","","灼流回收","Scorching Flow Reclaim","灼流回收","灼流回収","目标敌人的{buff_burn}立刻生效一次。随后吸收该目标所有{buff_burn}，移除这些{buff_burn}，你获得等量{SunExp_sunexp_gathered_flame}。若吸收不少于10层，抽1张牌，并获得10点护盾。","目標敵人的{buff_burn}立刻生效一次。隨後吸收該目標所有{buff_burn}，移除這些{buff_burn}，你獲得等量{SunExp_sunexp_gathered_flame}。若吸收不少於10層，抽1張牌，並獲得10點護盾。","Trigger the target enemy's {buff_burn} once immediately. Then absorb all {buff_burn} from that target, removing it and gaining that much {SunExp_sunexp_gathered_flame}. If you absorb at least 10 stacks, draw 1 card and gain 10 Block.","対象の敵の{buff_burn}をただちに1回発動する。その後、その対象の{buff_burn}をすべて吸収して取り除き、同量の{SunExp_sunexp_gathered_flame}を得る。10スタック以上吸収したなら1枚引き、10護盾を得る。"
"impurity_purge","TRUE","技能牌","","焚污除秽","Impurity Purge","焚污除穢","焚汚浄化","移除自身所有负面 Buff，并获得等同于这些负面 Buff 总层数的{buff_burn}。若成功转化，获得1层{SunExp_sunexp_solar_radiance}。","移除自身所有負面 Buff，並獲得等同於這些負面 Buff 總層數的{buff_burn}。若成功轉化，獲得1層{SunExp_sunexp_solar_radiance}。","Remove all negative buffs from yourself, then gain {buff_burn} equal to their total stacks. If any buff is converted, gain 1 stack of {SunExp_sunexp_solar_radiance}.","自身のすべての負面 Buff を取り除き、その合計スタック数に等しい{buff_burn}を得る。変換に成功したなら{SunExp_sunexp_solar_radiance}を1スタック得る。"
"flamewheel_recurrence","TRUE","技能牌","","炎轮再临","Flamewheel Recurrence","炎輪再臨","炎輪再臨","敌方全体的{buff_burn}立刻生效N次，N为本场战斗已使用此牌次数+1。本次总耗费等于N。","敵方全體的{buff_burn}立刻生效N次，N為本場戰鬥已使用此牌次數+1。本次總耗費等於N。","Trigger all enemies' {buff_burn} N times immediately, where N is the number of times this card has been used this combat plus 1. This play's total Mana cost equals N.","すべての敵の{buff_burn}をただちにN回発動する。Nはこの戦闘でこのカードを使用した回数+1。この使用の合計マナ消費はNに等しい。"
"eclipse_hex","TRUE","技能牌","","蚀天之咒","Eclipse Hex","蝕天之咒","蝕天の呪い","使目标敌人的{buff_burn}层数翻倍，最高不超过49层；若目标没有{buff_burn}，改为施加6层。随后目标的{buff_burn}立刻生效一次。","使目標敵人的{buff_burn}層數翻倍，最高不超過49層；若目標沒有{buff_burn}，改為施加6層。隨後目標的{buff_burn}立刻生效一次。","Double the target enemy's {buff_burn}, up to 49 stacks. If it has none, apply 6 stacks instead. Then trigger its {buff_burn} once immediately.","対象の敵の{buff_burn}を2倍にする。最大49スタック。持っていない場合は6スタック付与する。その後、対象の{buff_burn}をただちに1回発動する。"
"solar_scorching_light","TRUE","攻击牌","","日耀灼光","Solar Scorchlight","日耀灼光","日耀灼光","造成{0}点伤害。伤害为8+目标{buff_burn}层数*X，X为自身{SunExp_sunexp_gathered_flame}层数/4，至少为1。","造成{0}點傷害。傷害為8+目標{buff_burn}層數*X，X為自身{SunExp_sunexp_gathered_flame}層數/4，至少為1。","Deal {0} damage. Damage equals 8 plus the target's {buff_burn} stacks times X, where X is your {SunExp_sunexp_gathered_flame} stacks divided by 4, minimum 1.","{0}ダメージを与える。ダメージは8+対象の{buff_burn}スタック*X。Xは自身の{SunExp_sunexp_gathered_flame}スタック/4、最低1。"
"burning_calamity","TRUE","技能牌","","燃灾","Burning Calamity","燃災","燃災","选择一个敌人，将其{buff_burn}层数的一半施加给其他所有敌人。随后该目标的{buff_burn}立刻生效一次。","選擇一個敵人，將其{buff_burn}層數的一半施加給其他所有敵人。隨後該目標的{buff_burn}立刻生效一次。","Choose an enemy. Apply half of its {buff_burn} stacks to all other enemies. Then trigger that target's {buff_burn} once immediately.","敵1体を選ぶ。その{buff_burn}スタックの半分を他のすべての敵に付与する。その後、対象の{buff_burn}をただちに1回発動する。"
"burning_crown_oath","TRUE","技能牌","","燃冠誓言","Burning Crown Oath","燃冠誓言","燃冠の誓い","消耗至多12层{SunExp_sunexp_gathered_flame}。敌方全体获得等同于消耗层数一半的{buff_burn}。若消耗不少于8层，抽1张牌并获得1点魔能。","消耗至多12層{SunExp_sunexp_gathered_flame}。敵方全體獲得等同於消耗層數一半的{buff_burn}。若消耗不少於8層，抽1張牌並獲得1點魔能。","Consume up to 12 stacks of {SunExp_sunexp_gathered_flame}. All enemies gain {buff_burn} equal to half the consumed stacks. If at least 8 stacks are consumed, draw 1 card and gain 1 mana.","最大12スタックの{SunExp_sunexp_gathered_flame}を消費する。すべての敵は消費数の半分に等しい{buff_burn}を得る。8以上消費したなら1枚引き、魔能を1得る。"
"morning_light_bulwark","TRUE","技能牌","","晨光壁垒","Morninglight Bulwark","晨光壁壘","晨光の壁","获得1+2*当前日耀层数+聚炎层数的护盾。","獲得1+2*當前日耀層數+聚炎層數的護盾。","Gain Block equal to 1 + 2*your current Radiance stacks + your Gathered Flame stacks.","1+現在の日耀スタック*2+聚炎スタックに等しい護盾を得る。"
"solar_return","TRUE","技能牌","","日耀：回转","Radiance: Return","日耀：回轉","日耀：回転","若你拥有{buff_burn}，移除1层并获得1层{SunExp_sunexp_solar_radiance}；否则抽1张牌。","若你擁有{buff_burn}，移除1層並獲得1層{SunExp_sunexp_solar_radiance}；否則抽1張牌。","If you have {buff_burn}, remove 1 stack and gain 1 stack of {SunExp_sunexp_solar_radiance}; otherwise draw 1 card.","自身が{buff_burn}を持つなら1スタック取り除き、{SunExp_sunexp_solar_radiance}を1スタック得る。そうでなければ1枚引く。"
"solar_origin_core","TRUE","能力牌","","日耀源核","Solar Origin Core","日耀源核","日耀源核","获得{SunExp_sunexp_origin_core_radiance}。焚毁。","獲得{SunExp_sunexp_origin_core_radiance}。焚毀。","Gain {SunExp_sunexp_origin_core_radiance}. Burnout.","{SunExp_sunexp_origin_core_radiance}を得る。焼却。"
"ember_tower","TRUE","技能牌","","凝烬成塔","Ember Tower","凝燼成塔","凝燼の塔","将自身至多5层{buff_burn}转化为等量{SunExp_sunexp_gathered_flame}。若转化了5层，抽2张牌。","將自身至多5層{buff_burn}轉化為等量{SunExp_sunexp_gathered_flame}。若轉化了5層，抽2張牌。","Convert up to 5 of your {buff_burn} stacks into the same amount of {SunExp_sunexp_gathered_flame}. If 5 stacks were converted, draw 2 cards.","自身の{buff_burn}を最大5スタック、同量の{SunExp_sunexp_gathered_flame}へ変換する。5スタック変換したなら2枚引く。"
"gathered_flame_shield","TRUE","技能牌","","聚炎护盾","Gathered Flame Shield","聚炎護盾","聚炎の盾","获得{SunExp_sunexp_gathered_flame}层数×2的护盾，随后消耗至多4层{SunExp_sunexp_gathered_flame}。","獲得{SunExp_sunexp_gathered_flame}層數×2的護盾，隨後消耗至多4層{SunExp_sunexp_gathered_flame}。","Gain Block equal to twice your {SunExp_sunexp_gathered_flame} stacks, then consume up to 4 stacks of {SunExp_sunexp_gathered_flame}.","{SunExp_sunexp_gathered_flame}スタック×2の護盾を得る。その後{SunExp_sunexp_gathered_flame}を最大4スタック消費する。"
"gathered_flame_cycle","TRUE","能力牌","","聚炎轮转","Gathered Flame Cycle","聚炎輪轉","聚炎輪転","获得{SunExp_sunexp_cycle_gathered_flame}。焚毁。","獲得{SunExp_sunexp_cycle_gathered_flame}。焚毀。","Gain {SunExp_sunexp_cycle_gathered_flame}. Burnout.","{SunExp_sunexp_cycle_gathered_flame}を得る。焼却。"
"solar_eclipse","TRUE","技能牌","","日蚀","Solar Eclipse","日蝕","日蝕","敌方全体获得2层{buff_burn}和1+当前日耀层数/3层{buff_weak}。","敵方全體獲得2層{buff_burn}和1+當前日耀層數/3層{buff_weak}。","All enemies gain 2 stacks of {buff_burn} and {buff_weak} equal to 1 plus your current Radiance/3.","敵全体に{buff_burn}を2スタック、1+現在の日耀/3スタックの{buff_weak}を付与する。"
"smoke_erosion","TRUE","攻击牌","","烟蚀","Smoke Erosion","煙蝕","煙蝕","造成{0}点伤害。伤害为7+目标{buff_burn}层数。若目标拥有负面 Buff，给予3层{buff_burn}。","造成{0}點傷害。傷害為7+目標{buff_burn}層數。若目標擁有負面 Buff，給予3層{buff_burn}。","Deal {0} damage. Damage equals 7 plus the target's {buff_burn} stacks. If the target has a negative buff, apply 3 stacks of {buff_burn}.","{0}ダメージを与える。ダメージは7+対象の{buff_burn}スタック。対象がデバフを持つなら{buff_burn}を3スタック付与する。"
"afterglow_omen_card","TRUE","能力牌","","残光病兆","Afterglow Omen","殘光病兆","残光病兆","获得{SunExp_sunexp_afterglow_omen}。焚毁。","獲得{SunExp_sunexp_afterglow_omen}。焚毀。","Gain {SunExp_sunexp_afterglow_omen}. Burnout.","{SunExp_sunexp_afterglow_omen}を得る。焼却。"
